case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,name,category,src,dst,bytes,wall_ms,phase
0,prefix,6,0.5,1,128,8,input_ids,token_copy,cpu,cuda:0,1024,0.069193,prefill
0,prefix,6,0.5,1,128,8,embeddings,gpu_compute,,cuda:0,0,0.18409,prefill
0,prefix,6,0.5,1,128,8,block_0,gpu_compute,,cuda:0,0,1.330996,prefill
0,prefix,6,0.5,1,128,8,block_1,gpu_compute,,cuda:0,0,1.310394,prefill
0,prefix,6,0.5,1,128,8,block_2,gpu_compute,,cuda:0,0,1.307794,prefill
0,prefix,6,0.5,1,128,8,block_3,gpu_compute,,cuda:0,0,1.336204,prefill
0,prefix,6,0.5,1,128,8,block_4,gpu_compute,,cuda:0,0,1.312165,prefill
0,prefix,6,0.5,1,128,8,block_5,gpu_compute,,cuda:0,0,1.353547,prefill
0,prefix,6,0.5,1,128,8,into_block_6,activation_copy,cuda:0,cpu,393216,0.153203,prefill
0,prefix,6,0.5,1,128,8,block_6,cpu_compute,,cpu,0,20.746661,prefill
0,prefix,6,0.5,1,128,8,block_7,cpu_compute,,cpu,0,20.146521,prefill
0,prefix,6,0.5,1,128,8,block_8,cpu_compute,,cpu,0,19.412732,prefill
0,prefix,6,0.5,1,128,8,block_9,cpu_compute,,cpu,0,20.579412,prefill
0,prefix,6,0.5,1,128,8,block_10,cpu_compute,,cpu,0,20.752738,prefill
0,prefix,6,0.5,1,128,8,block_11,cpu_compute,,cpu,0,20.160934,prefill
0,prefix,6,0.5,1,128,8,into_final_norm,activation_copy,cpu,cuda:0,393216,0.196739,prefill
0,prefix,6,0.5,1,128,8,final_norm,gpu_compute,,cuda:0,0,0.09461,prefill
0,prefix,6,0.5,1,128,8,lm_head,gpu_compute,,cuda:0,0,0.75687,prefill
0,prefix,6,0.5,1,128,8,argmax,gpu_compute,,cuda:0,0,0.098649,prefill
0,prefix,6,0.5,1,128,8,output_token,token_copy,cuda:0,cpu,8,0.048571,prefill
0,prefix,6,0.5,1,128,8,embeddings,gpu_compute,,cuda:0,0,0.157833,decode
0,prefix,6,0.5,1,128,8,block_0,gpu_compute,,cuda:0,0,0.819943,decode
0,prefix,6,0.5,1,128,8,block_1,gpu_compute,,cuda:0,0,0.710494,decode
0,prefix,6,0.5,1,128,8,block_2,gpu_compute,,cuda:0,0,0.811264,decode
0,prefix,6,0.5,1,128,8,block_3,gpu_compute,,cuda:0,0,0.784194,decode
0,prefix,6,0.5,1,128,8,block_4,gpu_compute,,cuda:0,0,0.665501,decode
0,prefix,6,0.5,1,128,8,block_5,gpu_compute,,cuda:0,0,0.673526,decode
0,prefix,6,0.5,1,128,8,into_block_6,activation_copy,cuda:0,cpu,3072,0.047442,decode
0,prefix,6,0.5,1,128,8,block_6,cpu_compute,,cpu,0,2.900488,decode
0,prefix,6,0.5,1,128,8,block_7,cpu_compute,,cpu,0,2.795589,decode
0,prefix,6,0.5,1,128,8,block_8,cpu_compute,,cpu,0,2.799503,decode
0,prefix,6,0.5,1,128,8,block_9,cpu_compute,,cpu,0,2.744664,decode
0,prefix,6,0.5,1,128,8,block_10,cpu_compute,,cpu,0,2.654219,decode
0,prefix,6,0.5,1,128,8,block_11,cpu_compute,,cpu,0,2.55407,decode
0,prefix,6,0.5,1,128,8,into_final_norm,activation_copy,cpu,cuda:0,3072,0.058401,decode
0,prefix,6,0.5,1,128,8,final_norm,gpu_compute,,cuda:0,0,0.068493,decode
0,prefix,6,0.5,1,128,8,lm_head,gpu_compute,,cuda:0,0,0.686413,decode
0,prefix,6,0.5,1,128,8,argmax,gpu_compute,,cuda:0,0,0.091379,decode
0,prefix,6,0.5,1,128,8,output_token,token_copy,cuda:0,cpu,8,0.040493,decode
1,prefix,12,0.0,1,32,8,input_ids,token_copy,cpu,cuda:0,256,0.059415,prefill
1,prefix,12,0.0,1,32,8,embeddings,gpu_compute,,cuda:0,0,0.140099,prefill
1,prefix,12,0.0,1,32,8,block_0,gpu_compute,,cuda:0,0,0.778776,prefill
1,prefix,12,0.0,1,32,8,block_1,gpu_compute,,cuda:0,0,0.794367,prefill
1,prefix,12,0.0,1,32,8,block_2,gpu_compute,,cuda:0,0,0.812023,prefill
1,prefix,12,0.0,1,32,8,block_3,gpu_compute,,cuda:0,0,0.822339,prefill
1,prefix,12,0.0,1,32,8,block_4,gpu_compute,,cuda:0,0,0.824652,prefill
1,prefix,12,0.0,1,32,8,block_5,gpu_compute,,cuda:0,0,0.765008,prefill
1,prefix,12,0.0,1,32,8,block_6,gpu_compute,,cuda:0,0,0.747704,prefill
1,prefix,12,0.0,1,32,8,block_7,gpu_compute,,cuda:0,0,0.835337,prefill
1,prefix,12,0.0,1,32,8,block_8,gpu_compute,,cuda:0,0,0.770743,prefill
1,prefix,12,0.0,1,32,8,block_9,gpu_compute,,cuda:0,0,0.783557,prefill
1,prefix,12,0.0,1,32,8,block_10,gpu_compute,,cuda:0,0,0.759337,prefill
1,prefix,12,0.0,1,32,8,block_11,gpu_compute,,cuda:0,0,0.738981,prefill
1,prefix,12,0.0,1,32,8,final_norm,gpu_compute,,cuda:0,0,0.044277,prefill
1,prefix,12,0.0,1,32,8,lm_head,gpu_compute,,cuda:0,0,0.667798,prefill
1,prefix,12,0.0,1,32,8,argmax,gpu_compute,,cuda:0,0,0.094199,prefill
1,prefix,12,0.0,1,32,8,output_token,token_copy,cuda:0,cpu,8,0.037887,prefill
1,prefix,12,0.0,1,32,8,embeddings,gpu_compute,,cuda:0,0,0.116974,decode
1,prefix,12,0.0,1,32,8,block_0,gpu_compute,,cuda:0,0,0.637041,decode
1,prefix,12,0.0,1,32,8,block_1,gpu_compute,,cuda:0,0,0.628381,decode
1,prefix,12,0.0,1,32,8,block_2,gpu_compute,,cuda:0,0,0.601965,decode
1,prefix,12,0.0,1,32,8,block_3,gpu_compute,,cuda:0,0,0.57923,decode
1,prefix,12,0.0,1,32,8,block_4,gpu_compute,,cuda:0,0,0.611204,decode
1,prefix,12,0.0,1,32,8,block_5,gpu_compute,,cuda:0,0,0.593306,decode
1,prefix,12,0.0,1,32,8,block_6,gpu_compute,,cuda:0,0,0.589766,decode
1,prefix,12,0.0,1,32,8,block_7,gpu_compute,,cuda:0,0,0.616008,decode
1,prefix,12,0.0,1,32,8,block_8,gpu_compute,,cuda:0,0,0.575459,decode
1,prefix,12,0.0,1,32,8,block_9,gpu_compute,,cuda:0,0,0.605698,decode
1,prefix,12,0.0,1,32,8,block_10,gpu_compute,,cuda:0,0,0.609183,decode
1,prefix,12,0.0,1,32,8,block_11,gpu_compute,,cuda:0,0,0.62851,decode
1,prefix,12,0.0,1,32,8,final_norm,gpu_compute,,cuda:0,0,0.043376,decode
1,prefix,12,0.0,1,32,8,lm_head,gpu_compute,,cuda:0,0,0.670236,decode
1,prefix,12,0.0,1,32,8,argmax,gpu_compute,,cuda:0,0,0.082471,decode
1,prefix,12,0.0,1,32,8,output_token,token_copy,cuda:0,cpu,8,0.037332,decode
2,prefix,0,1.0,1,128,8,embeddings,cpu_compute,,cpu,0,0.318425,prefill
2,prefix,0,1.0,1,128,8,block_0,cpu_compute,,cpu,0,20.325963,prefill
2,prefix,0,1.0,1,128,8,block_1,cpu_compute,,cpu,0,19.674101,prefill
2,prefix,0,1.0,1,128,8,block_2,cpu_compute,,cpu,0,19.58499,prefill
2,prefix,0,1.0,1,128,8,block_3,cpu_compute,,cpu,0,20.050095,prefill
2,prefix,0,1.0,1,128,8,block_4,cpu_compute,,cpu,0,19.929346,prefill
2,prefix,0,1.0,1,128,8,block_5,cpu_compute,,cpu,0,19.710222,prefill
2,prefix,0,1.0,1,128,8,block_6,cpu_compute,,cpu,0,19.760473,prefill
2,prefix,0,1.0,1,128,8,block_7,cpu_compute,,cpu,0,19.583067,prefill
2,prefix,0,1.0,1,128,8,block_8,cpu_compute,,cpu,0,19.753498,prefill
2,prefix,0,1.0,1,128,8,block_9,cpu_compute,,cpu,0,19.922642,prefill
2,prefix,0,1.0,1,128,8,block_10,cpu_compute,,cpu,0,19.780479,prefill
2,prefix,0,1.0,1,128,8,block_11,cpu_compute,,cpu,0,19.98857,prefill
2,prefix,0,1.0,1,128,8,final_norm,cpu_compute,,cpu,0,0.113529,prefill
2,prefix,0,1.0,1,128,8,lm_head,cpu_compute,,cpu,0,11.462807,prefill
2,prefix,0,1.0,1,128,8,argmax,cpu_compute,,cpu,0,0.197048,prefill
2,prefix,0,1.0,1,128,8,embeddings,cpu_compute,,cpu,0,0.115456,decode
2,prefix,0,1.0,1,128,8,block_0,cpu_compute,,cpu,0,2.847611,decode
2,prefix,0,1.0,1,128,8,block_1,cpu_compute,,cpu,0,2.782958,decode
2,prefix,0,1.0,1,128,8,block_2,cpu_compute,,cpu,0,2.850835,decode
2,prefix,0,1.0,1,128,8,block_3,cpu_compute,,cpu,0,2.925932,decode
2,prefix,0,1.0,1,128,8,block_4,cpu_compute,,cpu,0,2.795532,decode
2,prefix,0,1.0,1,128,8,block_5,cpu_compute,,cpu,0,2.77594,decode
2,prefix,0,1.0,1,128,8,block_6,cpu_compute,,cpu,0,2.828041,decode
2,prefix,0,1.0,1,128,8,block_7,cpu_compute,,cpu,0,2.764556,decode
2,prefix,0,1.0,1,128,8,block_8,cpu_compute,,cpu,0,2.783693,decode
2,prefix,0,1.0,1,128,8,block_9,cpu_compute,,cpu,0,2.773486,decode
2,prefix,0,1.0,1,128,8,block_10,cpu_compute,,cpu,0,2.775368,decode
2,prefix,0,1.0,1,128,8,block_11,cpu_compute,,cpu,0,2.619004,decode
2,prefix,0,1.0,1,128,8,final_norm,cpu_compute,,cpu,0,0.033341,decode
2,prefix,0,1.0,1,128,8,lm_head,cpu_compute,,cpu,0,11.579043,decode
2,prefix,0,1.0,1,128,8,argmax,cpu_compute,,cpu,0,0.18792,decode
3,prefix,12,0.0,1,128,8,input_ids,token_copy,cpu,cuda:0,1024,0.05057,prefill
3,prefix,12,0.0,1,128,8,embeddings,gpu_compute,,cuda:0,0,0.140119,prefill
3,prefix,12,0.0,1,128,8,block_0,gpu_compute,,cuda:0,0,1.040741,prefill
3,prefix,12,0.0,1,128,8,block_1,gpu_compute,,cuda:0,0,0.963183,prefill
3,prefix,12,0.0,1,128,8,block_2,gpu_compute,,cuda:0,0,0.953456,prefill
3,prefix,12,0.0,1,128,8,block_3,gpu_compute,,cuda:0,0,0.950902,prefill
3,prefix,12,0.0,1,128,8,block_4,gpu_compute,,cuda:0,0,0.945619,prefill
3,prefix,12,0.0,1,128,8,block_5,gpu_compute,,cuda:0,0,0.945564,prefill
3,prefix,12,0.0,1,128,8,block_6,gpu_compute,,cuda:0,0,0.937581,prefill
3,prefix,12,0.0,1,128,8,block_7,gpu_compute,,cuda:0,0,0.932792,prefill
3,prefix,12,0.0,1,128,8,block_8,gpu_compute,,cuda:0,0,0.935305,prefill
3,prefix,12,0.0,1,128,8,block_9,gpu_compute,,cuda:0,0,0.985705,prefill
3,prefix,12,0.0,1,128,8,block_10,gpu_compute,,cuda:0,0,0.932317,prefill
3,prefix,12,0.0,1,128,8,block_11,gpu_compute,,cuda:0,0,0.931151,prefill
3,prefix,12,0.0,1,128,8,final_norm,gpu_compute,,cuda:0,0,0.044887,prefill
3,prefix,12,0.0,1,128,8,lm_head,gpu_compute,,cuda:0,0,0.66991,prefill
