case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,status,activation_boundaries,dtype,placement_prefill_max_abs_error,placement_decode_max_abs_error,placement_argmax_agreement,gpu_baseline_allocated_bytes,gpu_peak_allocated_bytes,gpu_peak_reserved_bytes,cpu_parameter_bytes,gpu_parameter_bytes,cpu_buffer_bytes,gpu_buffer_bytes,prefill_ms_median,prefill_ms_p95,prefill_ms_min,prefill_ms_max,prefill_input_tokens_per_s_median,prefill_input_tokens_per_s_p95,prefill_input_tokens_per_s_min,prefill_input_tokens_per_s_max,ttft_ms_median,ttft_ms_p95,ttft_ms_min,ttft_ms_max,generation_ms_median,generation_ms_p95,generation_ms_min,generation_ms_max,decode_ms_median,decode_ms_p95,decode_ms_min,decode_ms_max,decode_tpot_ms_median,decode_tpot_ms_p95,decode_tpot_ms_min,decode_tpot_ms_max,decode_generated_tokens_per_s_median,decode_generated_tokens_per_s_p95,decode_generated_tokens_per_s_min,decode_generated_tokens_per_s_max,generation_generated_tokens_per_s_median,generation_generated_tokens_per_s_p95,generation_generated_tokens_per_s_min,generation_generated_tokens_per_s_max,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,gpu_peak_above_baseline_bytes,profile_prefill_cpu_compute_ms,profile_prefill_gpu_compute_ms,profile_prefill_activation_copy_ms,profile_prefill_token_copy_ms,profile_prefill_activation_fraction,profile_prefill_activation_bytes,profile_decode_cpu_compute_ms,profile_decode_gpu_compute_ms,profile_decode_activation_copy_ms,profile_decode_token_copy_ms,profile_decode_activation_fraction,profile_decode_activation_bytes
0,prefix,6,0.5,1,128,8,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,359252992,385875968,170108928,327650304,6291456,6291456,129.730193,145.9182941,126.342688,147.716972,986.6631432514711,1010.4721483121523,866.5219593047169,1013.1175933188947,129.193327,132.8890708,126.075923,133.299709,279.479015,288.4283576,279.3784,289.422729,153.40309200000002,155.8510272,150.185073,156.12302,21.91472742857143,22.264432457142856,21.455010428571427,22.30328857142857,45.631414000442696,46.511384818349896,44.83643731718743,46.60915935367292,28.624689406465812,28.633967381470928,27.641229241536173,28.634998267582606,4976640,4976640,135,14287872,121.798998,9.085319,0.349942,0.11776400000000001,0.0026641538668955253,786432,16.448533,5.46904,0.10584299999999999,0.040493,0.004797110067848811,6144
1,prefix,12,0.0,1,32,8,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,527448576,574619648,0,497759232,0,12582912,8.69272,9.023667999999999,8.359431,9.06044,3681.2413145712735,3813.3346966259764,3531.8373059145033,3828.011739076499,8.510451,8.715711299999999,8.454449,8.738518,63.830278,68.3317018,62.874917,68.83186,55.319827000000004,59.87165260000001,54.136399000000004,60.37741100000001,7.902832428571429,8.553093228571429,7.733771285714286,8.62534442857143,126.53691053661466,129.02641100498292,115.93739917069314,129.30302216813496,125.33236969452021,127.04631060102436,116.22524801741518,127.23674847952482,0,2875392,39,6083072,0.0,10.379197,0.0,0.097302,0.0,0,0.0,8.188808,0.0,0.037332,0.0,0
2,prefix,0,1.0,1,128,8,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,258.759174,288.0373647,255.322969,291.290497,494.66845183235904,500.6600944674396,439.4238786306853,501.3258325380041,258.537994,276.4263679,250.510241,278.413965,608.097088,612.4649518,570.751989,612.95027,329.68312299999997,351.9393607,320.241748,354.412276,47.09758899999999,50.27705152857143,45.74882114285714,50.630325142857146,21.23250937537376,21.795888997207225,19.75100885049478,21.858486732966497,13.155793964269074,13.930515723876132,13.051629783930105,14.016595919388028,9953280,0,135,0,250.155255,0.0,0.0,0.0,0.0,0,45.438716,0.0,0.0,0.0,0.0,0
3,prefix,12,0.0,1,128,8,ok,0,float32,0.00019073486328125,5.340576171875e-05,1.0,521365504,541604352,589299712,0,497759232,0,12582912,15.5768,16.179161,15.554604,16.24609,8217.348877818293,8227.902219332025,7878.818841949048,8229.07481283355,15.648456,15.9955338,14.389425,16.034098,74.623498,76.0244065,67.813233,76.180063,58.975042,60.0288727,53.423807999999994,60.145965000000004,8.425006,8.575553242857143,7.63197257142857,8.592280714285716,118.6942774877549,129.794379860014,116.38353462281302,131.0277245680428,107.20483781127494,116.89445133108931,105.01435263974513,117.97107505551314,0,9953280,135,20238848,0.0,12.377333,0.0,0.087986,0.0,0,0.0,8.209158,0.0,0.038498,0.0,0
4,prefix,6,0.5,1,32,8,ok,2,float32,0.0001678466796875,6.103515625e-05,1.0,344965120,348209664,377487360,170108928,327650304,6291456,6291456,346.055143,365.0681425,137.040974,367.180698,92.47081179776022,219.4032057268768,87.15055059893153,233.5068050523342,110.494166,194.2138112,103.62146,203.515994,714.286297,764.0936281,469.68722,769.627776,603.7921309999999,659.7848975,266.17122600000005,666.0063160000001,86.2560187142857,94.25498535714287,38.02446085714286,95.14375942857144,11.593393886082296,24.828314035777634,10.510410835202949,26.29886071907712,11.199990863047454,16.44934954212511,10.394635237281248,17.032611617578183,1437696,1437696,39,3244544,136.885571,10.412117,0.18440800000000002,0.11552699999999999,0.0012493968144730895,196608,184.35181,11.665466,0.12265899999999999,0.067624,0.0006251492074268147,6144
5,prefix,0,1.0,1,32,8,ok,0,float32,0.0,0.0,1.0,0,0,0,497759232,0,12582912,0,110.847716,111.8174894,109.972669,111.925242,288.6843423999823,290.75168452284805,285.9051222779577,290.9813892031665,110.582229,112.05553710000001,109.157818,112.219238,428.513435,447.7956263,425.905929,449.938092,317.93120600000003,335.74008919999994,316.748111,337.71885399999996,45.41874371428572,47.962869885714284,45.24973014285714,48.245550571428566,22.017341701273576,22.091355548169293,20.72729999255535,22.099579308935485,18.66919295074144,18.77206080579493,17.780223862441947,18.78349056746754,2875392,0,39,0,111.19088099999999,0.0,0.0,0.0,0.0,0,46.384256,0.0,0.0,0.0,0.0,0
