fold,held_out_group,batch_size,sequence_length,new_tokens,budget_mib,policy,prediction_extrapolates_from_fold_range,oracle_gpu_layers,oracle_generation_ms,selected_gpu_layers,actual_selected_peak_mib,actual_selected_generation_ms,regret_pct,budget_excess_mib,matches_oracle,status
2,1/512/32,1,512,32,256,compute,False,0,3243.054462,0,0.0,3243.054462,0.0,0.0,True,feasible
2,1/512/32,1,512,32,256,compute_transfer,False,0,3243.054462,0,0.0,3243.054462,0.0,0.0,True,feasible
2,1/512/32,1,512,32,320,max_gpu,False,3,2102.940787,3,286.8740234375,2102.940787,0.0,0.0,True,feasible
2,1/512/32,1,512,32,320,compute,False,3,2102.940787,3,286.8740234375,2102.940787,0.0,0.0,True,feasible
2,1/512/32,1,512,32,320,compute_transfer,False,3,2102.940787,3,286.8740234375,2102.940787,0.0,0.0,True,feasible
2,1/512/32,1,512,32,384,max_gpu,False,6,1522.8258885,3,286.8740234375,2102.940787,38.09463070472354,0.0,False,feasible
2,1/512/32,1,512,32,384,compute,False,6,1522.8258885,3,286.8740234375,2102.940787,38.09463070472354,0.0,False,feasible
2,1/512/32,1,512,32,384,compute_transfer,False,6,1522.8258885,3,286.8740234375,2102.940787,38.09463070472354,0.0,False,feasible
2,1/512/32,1,512,32,448,max_gpu,False,6,1522.8258885,6,382.48828125,1522.8258885,0.0,0.0,True,feasible
2,1/512/32,1,512,32,448,compute,False,6,1522.8258885,6,382.48828125,1522.8258885,0.0,0.0,True,feasible
2,1/512/32,1,512,32,448,compute_transfer,False,6,1522.8258885,6,382.48828125,1522.8258885,0.0,0.0,True,feasible
2,1/512/32,1,512,32,512,max_gpu,False,9,1037.1012765,6,382.48828125,1522.8258885,46.83482925015954,0.0,False,feasible
2,1/512/32,1,512,32,512,compute,False,9,1037.1012765,6,382.48828125,1522.8258885,46.83482925015954,0.0,False,feasible
2,1/512/32,1,512,32,512,compute_transfer,False,9,1037.1012765,6,382.48828125,1522.8258885,46.83482925015954,0.0,False,feasible
