fold,policy,budget_mib,fit_models_seconds,candidate_prediction_ms,selection_only_ms
0,max_gpu,256,0.013240570999982992,58.671623000009276,2.2408139999470222
0,compute,256,0.013240570999982992,58.671623000009276,2.6432370000293304
0,compute_transfer,256,0.013240570999982992,58.671623000009276,2.5054050000790085
0,max_gpu,320,0.013240570999982992,58.671623000009276,1.9531000000370113
0,compute,320,0.013240570999982992,58.671623000009276,2.5330600000188497
0,compute_transfer,320,0.013240570999982992,58.671623000009276,2.562941999940449
0,max_gpu,384,0.013240570999982992,58.671623000009276,1.8844200000103228
0,compute,384,0.013240570999982992,58.671623000009276,2.53318499994748
0,compute_transfer,384,0.013240570999982992,58.671623000009276,2.569395000023178
0,max_gpu,448,0.013240570999982992,58.671623000009276,1.995918999909918
0,compute,448,0.013240570999982992,58.671623000009276,2.657659999954376
0,compute_transfer,448,0.013240570999982992,58.671623000009276,2.583968999942954
0,max_gpu,512,0.013240570999982992,58.671623000009276,1.9215540000914189
0,compute,512,0.013240570999982992,58.671623000009276,2.5677389999145817
0,compute_transfer,512,0.013240570999982992,58.671623000009276,2.57293800007119
0,max_gpu,640,0.013240570999982992,58.671623000009276,1.8748690000620627
0,compute,640,0.013240570999982992,58.671623000009276,2.5188740000885446
0,compute_transfer,640,0.013240570999982992,58.671623000009276,2.549561000023459
0,max_gpu,768,0.013240570999982992,58.671623000009276,1.911151000058453
0,compute,768,0.013240570999982992,58.671623000009276,2.8197959999261
0,compute_transfer,768,0.013240570999982992,58.671623000009276,2.516259000003629
0,max_gpu,1024,0.013240570999982992,58.671623000009276,1.9231240000863181
0,compute,1024,0.013240570999982992,58.671623000009276,2.4957099999483034
0,compute_transfer,1024,0.013240570999982992,58.671623000009276,2.534482999976717
1,max_gpu,256,0.013510002000089116,58.87146700001722,2.041247999954976
1,compute,256,0.013510002000089116,58.87146700001722,2.5283920000447324
1,compute_transfer,256,0.013510002000089116,58.87146700001722,2.5154400000246824
1,max_gpu,320,0.013510002000089116,58.87146700001722,1.9807329999821377
1,compute,320,0.013510002000089116,58.87146700001722,3.5270240000500053
1,compute_transfer,320,0.013510002000089116,58.87146700001722,2.7301709999392187
1,max_gpu,384,0.013510002000089116,58.87146700001722,2.064345000007961
1,compute,384,0.013510002000089116,58.87146700001722,2.6889869999422444
1,compute_transfer,384,0.013510002000089116,58.87146700001722,2.6366109999571563
1,max_gpu,448,0.013510002000089116,58.87146700001722,2.079351000020324
1,compute,448,0.013510002000089116,58.87146700001722,2.6904130000957593
1,compute_transfer,448,0.013510002000089116,58.87146700001722,2.6344959999278217
1,max_gpu,512,0.013510002000089116,58.87146700001722,1.9532530000105908
1,compute,512,0.013510002000089116,58.87146700001722,2.6982179999777145
