case_index,layout,gpu_layers,cpu_offload_ratio,batch_size,sequence_length,new_tokens,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json
0,prefix,12,0.0,1,128,32,0,10.557761,12123.782684605194,10.166446,272.844558,262.678112,8.473487483870967,118.01516222257605,117.28289629291415,0,11722752,159,"[8.551998, 8.651879, 8.488611, 8.380316, 8.491487, 8.490583, 8.462799, 8.467946, 8.260991, 8.187931, 8.068447, 8.390528, 8.78128, 8.56342, 8.397245, 8.599234, 8.527651, 8.483056, 8.471609, 8.646686, 8.473306, 8.621121, 8.432572, 8.392674, 8.323588, 8.589194, 8.490078, 8.447554, 8.359627, 8.524741, 8.635953]"
0,prefix,12,0.0,1,128,32,1,10.115073,12654.3822273947,10.135693,276.523878,266.388185,8.593167258064517,116.37152751350439,115.72237533859553,0,11722752,159,"[8.489749, 8.510613, 8.245195, 8.433601, 8.496403, 8.958527, 8.888791, 9.462076, 8.647803, 8.473233, 8.582135, 8.356892, 8.470109, 8.534981, 8.887515, 8.654255, 8.457726, 8.498621, 8.661401, 8.581474, 8.61969, 8.569736, 8.634097, 8.464449, 8.619581, 8.487215, 8.637149, 8.373236, 8.321974, 8.372567, 8.972553]"
0,prefix,12,0.0,1,128,32,2,9.780204,13087.66156615956,9.657898,294.077769,284.419871,9.174834548387096,108.9937910843086,108.81475369190522,0,11722752,159,"[9.28451, 8.593132, 8.500264, 9.286118, 8.681672, 8.683796, 8.395884, 8.609633, 8.453514, 11.630037, 14.259473, 14.849588, 10.534637, 8.53856, 8.43663, 8.259689, 8.486814, 8.196022, 8.090695, 8.249455, 8.345046, 8.700162, 8.85632, 8.572497, 8.509484, 8.442193, 8.490828, 10.54264, 8.612891, 8.831978, 8.470792]"
0,prefix,12,0.0,1,128,32,3,9.496326,13478.896996585838,9.375256,279.042027,269.66677100000004,8.698928096774194,114.95669223554427,114.67806603913466,0,11722752,159,"[8.365819, 8.330041, 8.346792, 8.615829, 8.461982, 8.43188, 8.378849, 8.902441, 9.620243, 8.488394, 8.158413, 8.41, 8.349977, 8.306962, 8.238086, 8.382455, 8.455006, 8.51004, 8.410992, 8.508982, 8.3478, 8.633133, 8.286229, 8.572231, 8.306268, 8.739699, 8.628751, 9.61515, 9.110128, 8.834436, 12.887728]"
0,prefix,12,0.0,1,128,32,4,13.732169,9321.178613516917,9.80475,275.651033,265.84628299999997,8.575686548387095,116.60873964523327,116.08880856252769,0,11722752,159,"[8.541486, 8.458017, 8.417648, 8.487712, 8.498858, 8.790427, 8.683543, 8.516866, 8.528426, 8.406382, 8.886505, 8.596285, 8.363531, 8.432575, 9.123449, 8.708363, 8.81944, 8.7756, 8.45214, 8.779885, 9.016302, 8.885006, 8.414193, 8.56021, 8.508185, 8.583529, 8.306914, 8.504081, 8.04752, 8.428645, 8.300945]"
0,prefix,12,0.0,1,128,32,5,9.474686,13509.68253723659,9.301739,294.640161,285.338422,9.204465225806452,108.64292226302423,108.60705441984877,0,11722752,159,"[8.511044, 8.411503, 8.475354, 8.512281, 8.588727, 8.461971, 9.037514, 8.924042, 8.772862, 8.739361, 8.732973, 8.705342, 8.807341, 8.835623, 8.79119, 8.645572, 8.618467, 9.221926, 8.507944, 8.35864, 7.842431, 8.201275, 8.00584, 8.847474, 11.961513, 9.905379, 8.607841, 10.661216, 13.839127, 14.340542, 9.440597]"
0,prefix,12,0.0,1,128,32,6,9.480852,13500.896332945604,9.437254,275.417199,265.979945,8.57999822580645,116.55014065064192,116.18736998338292,0,11722752,159,"[8.353929, 8.175676, 8.542612, 8.447183, 8.541363, 8.493069, 8.811261, 8.636098, 10.306338, 8.724498, 8.189153, 8.361818, 8.215697, 7.937893, 8.603307, 8.389597, 8.607924, 8.542774, 8.360881, 8.308366, 8.747542, 8.941186, 9.610914, 8.883052, 8.37683, 8.431, 8.481114, 8.507894, 8.511781, 8.349939, 8.563586]"
0,prefix,12,0.0,1,128,32,7,9.344225,13698.300287075708,9.220397,275.802357,266.58196,8.599418064516128,116.28693854602915,116.02511431764161,0,11722752,159,"[8.480933, 8.417521, 8.310953, 8.53147, 8.175572, 8.365277, 8.643554, 8.33308, 8.404015, 8.537885, 9.03851, 8.892418, 8.48903, 8.916367, 8.80797, 8.464031, 8.523511, 8.668455, 8.601267, 8.45224, 8.671602, 9.122254, 8.573655, 8.432016, 8.544907, 8.973753, 9.038286, 8.641057, 8.499633, 8.711162, 8.294562]"
0,prefix,12,0.0,1,128,32,8,9.76926,13102.323000923305,9.619439,295.444616,285.825177,9.220167,108.45790537199598,108.31133236829741,0,11722752,159,"[8.499365, 8.732216, 8.450142, 8.515241, 8.105848, 8.473538, 8.427281, 8.809091, 8.336548, 8.454871, 8.390478, 8.673765, 8.186991, 8.434875, 8.351935, 8.497115, 8.432482, 8.556372, 8.582843, 8.437261, 8.402384, 8.420417, 8.714356, 8.23208, 8.277251, 8.491194, 8.612437, 12.814688, 13.808756, 15.648459, 15.007833]"
0,prefix,12,0.0,1,128,32,9,15.167911,8438.868081438504,14.252976,404.033047,389.780071,12.573550677419355,79.53202922988845,79.2014421533197,0,11722752,159,"[14.59726, 15.77328, 16.34969, 13.421644, 14.362713, 12.065127, 12.58847, 12.139242, 15.832161, 14.827969, 13.401284, 14.043607, 11.777284, 11.658558, 12.625792, 11.369599, 13.032381, 12.555184, 10.929526, 11.247466, 11.447981, 10.797514, 10.833125, 11.083596, 15.757677, 11.341245, 11.280056, 10.629119, 10.64395, 10.670304, 10.6664]"
