bytes,pinned,direction,wall_ms_median,cuda_event_span_ms_median,wall_effective_GB_per_s_median,event_span_effective_GB_per_s_median
3072,False,H2D,0.053972,0.030719999223947525,0.05691887157720981,0.10000000252621255
3072,False,D2H,0.0604215,0.038575999438762665,0.05084343455547255,0.07963513067904415
3072,True,H2D,0.046511,0.02588800061494112,0.06604889535440048,0.11866954870255417
3072,True,D2H,0.044719499999999995,0.02417599968612194,0.068694865077149,0.12706822408304214
98304,False,H2D,0.06599949999999999,0.04523199982941151,1.4894678304046258,2.173335423423974
98304,False,D2H,0.08912,0.06737599894404411,1.1030540313420805,1.4590497870361454
98304,True,H2D,0.052207,0.02956799976527691,1.8829726568648848,3.3248155434157587
98304,True,D2H,0.045481,0.02473600022494793,2.161444351655274,3.9741333936910888
393216,False,H2D,0.1491995,0.12488000094890594,2.6357285052348676,3.148762406575175
393216,False,D2H,0.16869,0.1456959992647171,2.3309996560751847,2.699004994532905
393216,True,H2D,0.064844,0.04399999976158142,6.064033388585232,8.936732048090434
393216,True,D2H,0.060959,0.040431998670101166,6.450501184241528,9.725380073674293
6291456,False,H2D,1.4607230000000002,1.4278240203857422,4.307083548051073,4.406324929502427
6291456,False,D2H,1.439144,1.4072480201721191,4.371686616534509,4.47075411150794
6291456,True,H2D,0.547455,0.5224799811840057,11.492189392980787,12.041525479398462
6291456,True,D2H,0.515992,0.4917600005865097,12.19293329342578,12.79375304853445
67108864,False,H2D,14.4697,14.431632041931152,4.637889148631279,4.6501230056353755
67108864,False,D2H,15.1193965,15.08571195602417,4.438610067296864,4.44852087370319
67108864,True,H2D,5.4848775,5.454767942428589,12.235253137318608,12.302789910307574
67108864,True,D2H,5.171723999999999,5.137840032577515,12.97611113314544,13.061688270835736
