bytes,pinned,direction,trial,wall_ms,cuda_event_span_ms,wall_effective_GB_per_s,event_span_effective_GB_per_s
3072,False,H2D,0,0.105638,0.04403200000524521,0.02908044453700373,0.06976744185215424
3072,False,H2D,1,0.067848,0.03766399994492531,0.045277679518924654,0.08156329663583457
3072,False,H2D,2,0.056386,0.03219199925661087,0.05448160891001312,0.09542743759131833
3072,False,H2D,3,0.053817,0.02985600009560585,0.057082334578293106,0.10289389034575101
3072,False,H2D,4,0.052113,0.029055999591946602,0.05894882275056128,0.10572687373149126
3072,False,H2D,5,0.054851,0.031168000772595406,0.05600627153561467,0.09856262589357571
3072,False,H2D,6,0.051537,0.029472000896930695,0.05960766051574597,0.10423452451509417
3072,False,H2D,7,0.05115,0.030592000111937523,0.06005865102639296,0.10041840967440546
3072,False,H2D,8,0.130932,0.03907199949026108,0.02346256071854092,0.07862407964981966
3072,False,H2D,9,0.053221,0.030719999223947525,0.05772157606959659,0.10000000252621255
3072,False,H2D,10,0.059461,0.030719999223947525,0.051664115975177005,0.10000000252621255
3072,False,H2D,11,0.05847,0.0315839983522892,0.052539763981528986,0.09726444276417404
3072,False,H2D,12,0.051193,0.02723200060427189,0.06000820424667435,0.11280845813135355
3072,False,H2D,13,0.056208,0.03276799991726875,0.05465414175918019,0.093750000236696
3072,False,H2D,14,0.054774,0.030719999223947525,0.05608500383393581,0.10000000252621255
3072,False,H2D,15,0.135767,0.04915200173854828,0.02262700067026597,0.062499997789321624
3072,False,H2D,16,0.061716,0.03097599931061268,0.04977639510013611,0.09917355592616839
3072,False,H2D,17,0.056136,0.0318400003015995,0.05472424112868747,0.09648241114638671
3072,False,H2D,18,0.054688,0.0315839983522892,0.056173200702165006,0.09726444276417404
3072,False,H2D,19,0.04892,0.026944000273942947,0.06279640228945217,0.11401425062227584
3072,False,H2D,20,0.070694,0.040063999593257904,0.04345489008968229,0.07667731707238151
3072,False,H2D,21,0.053271,0.0318400003015995,0.057667398772315144,0.09648241114638671
3072,False,H2D,22,0.050371,0.028351999819278717,0.060987472950705765,0.10835214516018407
3072,False,H2D,23,0.054935,0.032416000962257385,0.055920633475926095,0.09476801298151467
3072,False,H2D,24,0.058112,0.03455999866127968,0.05286343612334802,0.08888889233209972
3072,False,H2D,25,0.054311,0.03129599988460541,0.05656312717497376,0.09815950956438767
3072,False,H2D,26,0.051428,0.02876799926161766,0.0597339970444116,0.10678531975974674
3072,False,H2D,27,0.05669,0.03558399900794029,0.05418945140236373,0.08633093765865121
3072,False,H2D,28,0.048593,0.026655999943614006,0.06321898215792399,0.11524609868315823
3072,False,H2D,29,0.046889,0.026079999282956123,0.06551643242551558,0.11779141428150354
3072,False,H2D,30,0.05306,0.02848000079393387,0.05789672069355447,0.10786516553238033
3072,False,H2D,31,0.062173,0.04153599962592125,0.049410515818763774,0.07395993903281109
3072,False,H2D,32,0.04847,0.02659199945628643,0.06337940994429545,0.11552346806602276
3072,False,H2D,33,0.047276,0.02707199938595295,0.0649801167611473,0.11347517987880834
3072,False,H2D,34,0.084264,0.027712000533938408,0.0364568499003133,0.11085450132832433
3072,False,H2D,35,0.065878,0.03843199834227562,0.046631652448465344,0.07993339229047494
3072,False,H2D,36,0.05064,0.028704000636935234,0.06066350710900474,0.10702340899641234
3072,False,H2D,37,0.05535,0.03280000016093254,0.055501355013550135,0.09365853612583212
3072,False,H2D,38,0.049571,0.029152000322937965,0.061971717334732,0.10537870355273106
3072,False,H2D,39,0.049641,0.0289280004799366,0.06188432948570738,0.10619468850363946
3072,False,H2D,40,0.054127,0.03129599988460541,0.056755408576126515,0.09815950956438767
3072,False,H2D,41,0.054497,0.03177599981427193,0.05637007541699543,0.09667673772518832
3072,False,H2D,42,0.051358,0.030079999938607216,0.05981541337279489,0.10212765978290896
3072,False,H2D,43,0.05049,0.029152000322937965,0.060843731431966724,0.10537870355273106
3072,False,H2D,44,0.049147,0.028672000393271446,0.06250635847559363,0.10714285567326222
3072,False,H2D,45,0.050922,0.028672000393271446,0.0603275597973371,0.10714285567326222
3072,False,H2D,46,0.051215,0.029184000566601753,0.05998242702333301,0.10526315585107289
3072,False,H2D,47,0.050509,0.029023999348282814,0.060820843810014055,0.1058434422884506
3072,False,H2D,48,0.049915,0.028704000636935234,0.06154462586396875,0.10702340899641234
3072,False,H2D,49,0.08941,0.06207999959588051,0.034358572866569737,0.04948453640460158
3072,False,D2H,0,0.081312,0.04505600035190582,0.03778040141676505,0.06818181764929025
3072,False,D2H,1,0.067968,0.04291199892759323,0.04519774011299435,0.07158836867943352
3072,False,D2H,2,0.061455,0.0379519984126091,0.04998779594825482,0.08094435414445435
3072,False,D2H,3,0.05944,0.03711999952793121,0.051682368775235535,0.08275862174212721
3072,False,D2H,4,0.063502,0.04012800008058548,0.048376429088847595,0.07655502376970635
3072,False,D2H,5,0.063819,0.04137599840760231,0.048136135006816155,0.07424594253260507
3072,False,D2H,6,0.076281,0.05430399999022484,0.04027215164982106,0.05657041839556911
3072,False,D2H,7,0.068593,0.0453759990632534,0.04478591109880017,0.06770098870369073
3072,False,D2H,8,0.067678,0.04227200150489807,0.04539141227577647,0.07267221542949762
3072,False,D2H,9,0.08459,0.046271998435258865,0.03631634945028963,0.06639004373883196
3072,False,D2H,10,0.056786,0.03097599931061268,0.054097841017152114,0.09917355592616839
3072,False,D2H,11,0.04024,0.024800000712275505,0.07634194831013917,0.12387096418426397
3072,False,D2H,12,0.039108,0.02396799996495247,0.07855170297637312,0.12817089471345433
3072,False,D2H,13,0.04068,0.025696000084280968,0.07551622418879056,0.11955168080339619
3072,False,D2H,14,0.039796,0.024224000051617622,0.07719368780781988,0.1268163801789151
3072,False,D2H,15,0.038293,0.023423999547958374,0.08022353955030946,0.13114754351452138
3072,False,D2H,16,0.038692,0.023679999634623528,0.0793962576243151,0.12972973173142702
3072,False,D2H,17,0.038709,0.023679999634623528,0.07936138882430442,0.12972973173142702
3072,False,D2H,18,0.045302,0.024671999737620354,0.06781157564787427,0.12451362000120945
3072,False,D2H,19,0.038656,0.023584000766277313,0.07947019867549669,0.13025779766733397
3072,False,D2H,20,0.041623,0.026367999613285065,0.07380534800470893,0.11650485607760042
3072,False,D2H,21,0.039465,0.024447999894618988,0.07784112504751045,0.12565445080340287
3072,False,D2H,22,0.038495,0.023552000522613525,0.07980257176256657,0.13043477971437756
3072,False,D2H,23,0.039276,0.02380800060927868,0.07821570424686831,0.1290322547624075
3072,False,D2H,24,0.046637,0.031647998839616776,0.06587044621223492,0.0970677487561864
3072,False,D2H,25,0.040572,0.02518399991095066,0.07571724341910677,0.12198221135889593
3072,False,D2H,26,0.058552,0.043168000876903534,0.05246618390490504,0.07116382360999332
3072,False,D2H,27,0.044014,0.02707199938595295,0.06979597400827009,0.11347517987880834
3072,False,D2H,28,0.098978,0.08137600123882294,0.031037200185899897,0.03775068758889086
3072,False,D2H,29,0.071885,0.0469760000705719,0.04273492383668359,0.06539509526960456
3072,False,D2H,30,0.063808,0.04064000025391579,0.048144433299899696,0.07559055070881805
3072,False,D2H,31,0.070944,0.04684799909591675,0.04330175913396482,0.06557377175726069
3072,False,D2H,32,0.066549,0.04179200157523155,0.04616147500338097,0.07350688850042185
3072,False,D2H,33,0.066045,0.04188799858093262,0.04651374063138769,0.07333842876413704
3072,False,D2H,34,0.53517,0.49638399481773376,0.0057402320757890014,0.006188757155895007
3072,False,D2H,35,0.123765,0.06508799642324448,0.024821233789843654,0.04719764271162778
3072,False,D2H,36,0.066629,0.04358400031924248,0.04610604991820379,0.0704845809815145
3072,False,D2H,37,0.076594,0.0469760000705719,0.04010758022821631,0.06539509526960456
3072,False,D2H,38,0.066168,0.042399998754262924,0.04642727602466449,0.0724528323173863
