policy,decisions,budget_violations,abstentions,median_feasible_regret_pct,worst_feasible_regret_pct
max_gpu,32,0,0,0.0,239.54777807305683
compute,32,0,0,0.0,239.54777807305683
compute_transfer,32,0,0,0.0,239.54777807305683
