case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,trials,gpu_peak_mib,prefill_ms_median,prefill_ms_min,prefill_ms_max,ttft_ms_median,ttft_ms_min,ttft_ms_max,decode_tpot_ms_median,decode_tpot_ms_min,decode_tpot_ms_max,generation_ms_median,generation_ms_min,generation_ms_max,pooled_generation_tokens_s,generation_ms_median_historical,generation_ratio_vs_historical
B1_S128_N32_G0,B1_S128_N32,historical_control,1,128,32,0,prefix,10,0.0,281.309273,254.040546,314.134662,265.99362199999996,256.581777,285.96072,47.46414656451613,46.82591780645161,105.32201551612904,1741.653953,1709.420255,3550.943201,15.274628797762146,1946.9361745,0.8945614015555906
B1_S128_N32_G6,B1_S128_N32,historical_control,1,128,32,6,prefix,10,342.1103515625,135.03083900000001,129.929954,606.604992,132.749067,127.610933,645.109113,21.90410072580645,21.180170032258065,41.07595916129032,813.460285,787.387547,1918.463847,34.725701190370835,908.5480755,0.895340936749362
B1_S128_N32_G12,B1_S128_N32,historical_control,1,128,32,12,prefix,10,519.88916015625,10.2979345,8.549415,14.882219,9.7074995,8.317522,13.560124,8.93448614516129,7.654608290322581,11.469252903225808,286.6283575,245.610379,368.167769,109.25842495231564,277.7829525,1.0318428647992715
