workload_id,budget_mib,policy,selected_gpu_layers,selection_status,oracle_gpu_layers,observed_budget_violation,regret_pct,measured_generation_ms,measured_peak_mib,outcome
B3_S256_N32,320,max_gpu,0,predicted_feasible,3,False,42.68976422582978,3712.043812,0.0,feasible
B3_S256_N32,320,compute,0,predicted_feasible,3,False,42.68976422582978,3712.043812,0.0,feasible
B3_S256_N32,320,compute_transfer,0,predicted_feasible,3,False,42.68976422582978,3712.043812,0.0,feasible
B3_S256_N32,384,max_gpu,3,predicted_feasible,3,False,0.0,2601.4786919999997,301.1259765625,feasible
B3_S256_N32,384,compute,3,predicted_feasible,3,False,0.0,2601.4786919999997,301.1259765625,feasible
B3_S256_N32,384,compute_transfer,3,predicted_feasible,3,False,0.0,2601.4786919999997,301.1259765625,feasible
B3_S256_N32,448,max_gpu,6,predicted_feasible,6,False,0.0,1845.3444425,398.740234375,feasible
B3_S256_N32,448,compute,6,predicted_feasible,6,False,0.0,1845.3444425,398.740234375,feasible
B3_S256_N32,448,compute_transfer,6,predicted_feasible,6,False,0.0,1845.3444425,398.740234375,feasible
B3_S256_N32,512,max_gpu,6,predicted_feasible,9,False,69.12944068517012,1845.3444425,398.740234375,feasible
B3_S256_N32,512,compute,6,predicted_feasible,9,False,69.12944068517012,1845.3444425,398.740234375,feasible
B3_S256_N32,512,compute_transfer,6,predicted_feasible,9,False,69.12944068517012,1845.3444425,398.740234375,feasible
B3_S256_N32,640,max_gpu,9,predicted_feasible,12,False,239.54777807305683,1091.084104,505.81884765625,feasible
B3_S256_N32,640,compute,9,predicted_feasible,12,False,239.54777807305683,1091.084104,505.81884765625,feasible
B3_S256_N32,640,compute_transfer,9,predicted_feasible,12,False,239.54777807305683,1091.084104,505.81884765625,feasible
B3_S256_N32,768,max_gpu,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible
B3_S256_N32,768,compute,12,predicted_feasible,12,False,0.0,321.334485,619.23974609375,feasible
