case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,block,trial,prefill_ms,prefill_input_tokens_per_s,ttft_ms,generation_ms,decode_ms,decode_tpot_ms,decode_generated_tokens_per_s,generation_generated_tokens_per_s,final_kv_cpu_bytes,final_kv_gpu_bytes,final_cached_positions,decode_step_ms_json,cpu_threads
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,0,3,11.250538,17065.85053976974,11.761293,280.017316,268.256023,8.653420096774193,346.6837350377032,342.83594090302614,0,21012480,95,"[8.694089, 8.434614, 8.401933, 8.47414, 8.550275, 8.564929, 8.910974, 8.574352, 9.060918, 8.776331, 8.797708, 8.849189, 9.043239, 8.677914, 8.818839, 8.820472, 8.826037, 8.479745, 8.544951, 8.614244, 8.43096, 8.510327, 8.824237, 8.53475, 8.502863, 8.811893, 8.534839, 8.462214, 8.513007, 8.631505, 8.560417]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,0,4,11.24669,17071.689537099362,11.160749,284.10813,272.947381,8.804754225806452,340.7250132215044,337.8995173422176,0,21012480,95,"[8.573457, 8.49858, 8.79943, 9.840362, 9.17133, 8.44479, 8.81901, 10.5047, 8.971153, 8.594467, 8.47175, 8.86237, 8.439808, 8.745989, 8.532066, 8.698607, 8.861026, 8.509775, 8.480131, 8.954416, 9.324226, 8.430687, 8.557226, 8.752712, 8.526652, 8.654418, 8.487334, 8.43603, 8.55028, 8.485958, 9.94209]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,3,0,11.690454,16423.65642942524,11.769092,282.130503,270.361411,8.721335838709676,343.9840014742341,340.268063818679,0,21012480,95,"[8.746831, 8.639614, 8.630024, 8.66386, 8.461479, 8.656226, 8.424111, 8.431528, 8.442764, 8.526419, 8.488012, 8.585948, 8.544567, 8.709025, 8.515865, 8.462563, 8.402971, 8.902653, 8.419269, 8.382331, 8.602464, 8.524982, 10.038166, 11.596514, 9.729734, 8.71712, 8.424996, 8.41429, 8.514286, 8.39654, 8.344354]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,3,1,11.258107,17054.37690368372,11.291013,280.402796,269.111783,8.681025258064516,345.5813006894611,342.3646317706475,0,21012480,95,"[8.761146, 8.524419, 8.764879, 8.519605, 8.429372, 8.433529, 8.474572, 8.448515, 8.392085, 8.477866, 8.766144, 8.821785, 8.583502, 8.767253, 8.458196, 8.35635, 8.789901, 8.563784, 8.511294, 8.381869, 8.407857, 8.57645, 8.443748, 8.557142, 8.456567, 8.889964, 8.928806, 8.979958, 8.675735, 8.936366, 11.005705]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,3,2,15.567047,12333.745764370082,15.276661,281.451301,266.17464,8.58627870967742,349.3946681021152,341.0892032081955,0,21012480,95,"[9.050856, 8.533933, 8.425787, 8.78648, 8.636405, 8.469879, 8.48429, 8.499671, 8.423458, 8.416511, 8.883199, 8.689135, 9.037153, 8.845194, 8.656072, 8.569987, 8.503853, 8.469082, 8.638064, 8.425121, 8.534987, 8.461037, 8.557738, 8.44618, 8.558161, 8.460564, 8.531948, 8.68226, 8.456127, 8.540943, 8.477245]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,3,3,11.366083,16892.363006675212,11.723298,281.867025,270.143727,8.714313774193549,344.2611865645875,340.5861327695214,0,21012480,95,"[8.669944, 8.657854, 9.011798, 9.179924, 8.773911, 8.788685, 8.841905, 9.00356, 8.490927, 9.501911, 9.623601, 8.751231, 8.503704, 8.695847, 8.703444, 8.461748, 8.713566, 8.523201, 8.536099, 8.459422, 8.473819, 8.56182, 8.563486, 8.522608, 8.496096, 8.595625, 8.883823, 8.611734, 8.600354, 8.451607, 8.447562]",2
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,3,4,11.498331,16698.075572880967,11.366437,283.93199,272.565553,8.792437193548386,341.2023235379271,338.10913662810594,0,21012480,95,"[8.743892, 8.832044, 11.764874, 11.450453, 8.541131, 8.629649, 8.351693, 8.65599, 8.407234, 8.557673, 8.433029, 8.500749, 8.424726, 9.112812, 8.835784, 8.820694, 8.445712, 8.45473, 8.39031, 8.370977, 8.393948, 8.367056, 8.489764, 8.346085, 8.846099, 8.779406, 8.867404, 8.733757, 8.752484, 8.50753, 8.73373]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,0,0,1770.630694,433.7437516487557,2675.577958,5690.984436,3015.406478,97.27117670967742,30.841613121983883,16.86878624947974,63479808,0,287,"[238.834677, 151.890685, 129.113772, 154.956504, 183.674874, 171.099597, 131.565059, 128.593678, 125.110047, 122.969847, 96.355934, 83.501765, 65.66489, 65.78258, 65.649953, 65.674149, 66.762847, 67.016363, 68.250924, 66.001596, 67.099062, 67.795657, 69.651332, 65.455132, 66.88642, 69.508853, 93.848092, 67.074548, 66.471713, 66.158206, 66.982963]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,0,1,1742.957839,440.6302796404016,1799.450211,3911.990433,2112.540222,68.14645877419353,44.0228304443616,24.53993731430989,63479808,0,287,"[73.344851, 64.460226, 66.411127, 64.250454, 81.730659, 73.903511, 64.214812, 63.074668, 63.617956, 66.282052, 65.769601, 66.154132, 65.385, 68.742448, 65.935709, 69.343013, 65.848538, 66.251907, 64.705752, 65.878256, 92.801795, 66.361734, 66.553575, 66.245052, 69.7728, 68.072328, 65.192477, 69.844992, 66.441865, 68.080076, 67.863182]",2
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,0,2,1823.491814,421.1699740594504,2532.734453,5655.889752,3123.155299,100.74694512903226,29.77757783283386,16.973456734380843,63479808,0,287,"[397.00107, 118.193042, 139.733161, 331.364592, 134.027002, 121.047132, 149.39837, 109.895419, 125.340827, 64.632355, 65.193081, 65.249063, 65.844768, 64.443747, 64.306364, 64.025353, 64.546884, 65.364666, 64.87264, 65.626178, 93.016095, 68.63961, 67.414438, 68.839235, 78.456138, 65.935044, 64.972274, 64.884154, 64.693714, 65.398772, 80.794926]",2
