case_id,workload_id,kind,batch_size,sequence_length,new_tokens,gpu_layers,layout,trials,gpu_peak_mib,prefill_ms_median,prefill_ms_min,prefill_ms_max,ttft_ms_median,ttft_ms_min,ttft_ms_max,decode_tpot_ms_median,decode_tpot_ms_min,decode_tpot_ms_max,generation_ms_median,generation_ms_min,generation_ms_max,pooled_generation_tokens_s,cpu_threads,generation_iqr_over_median,generation_max_over_median,slow_trials_over_1_5x_median
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,10,0.0,409.63221050000004,381.609629,553.566523,409.6817045,390.116535,554.237868,57.9070539516129,55.369365580645166,66.58984725806451,2203.8236825,2125.488017,2618.523133,42.560861141422556,1,0.041107240097915596,1.1881726990199,0
B3_S64_N32_G3,B3_S64_N32,primary,3,64,32,3,prefix,10,258.93408203125,285.8206095,261.141304,359.460308,292.6167425,272.208138,389.304304,36.233036500000004,34.42384693548387,44.43553229032258,1422.142959,1341.153956,1702.838766,65.54622482961187,1,0.13691365714520962,1.1973752394044657,0
B3_S64_N32_G6,B3_S64_N32,primary,3,64,32,6,prefix,10,350.07763671875,202.5837225,195.080466,273.556401,200.8400015,196.758212,270.949635,26.99226898387097,26.303965612903227,30.118580193548382,1042.8182645000002,1013.826715,1204.625621,90.90133021663176,1,0.03470583416311079,1.155163523701401,0
B3_S64_N32_G9,B3_S64_N32,primary,3,64,32,9,prefix,10,444.15869140625,119.555134,103.114689,153.756052,111.8198225,105.370993,147.196549,18.478038387096774,17.268085354838707,23.394950903225805,689.8089545,645.840297,863.817338,131.37011269727574,1,0.18484763885447653,1.2522559070375185,0
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,10,538.23974609375,11.611323,11.333567,15.58474,11.587057000000001,11.264107,17.17517,9.342808177419354,8.745668193548388,14.19995370967742,300.91040599999997,282.407123,456.142371,287.16108522219486,1,0.24727951332464065,1.5158743662723317,1
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,10,0.0,1730.8296850000002,1635.743236,2278.497109,1687.073675,1613.907083,2352.074925,70.82227393548386,70.31654512903225,77.12880622580644,3910.574985,3808.451047,4668.933055,23.817031169302844,1,0.05259037584980609,1.1939249529567582,0
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,10,301.1259765625,1390.5756219999998,1310.293302,1829.692419,1359.9538045,1268.884598,1671.254352,46.7992205,45.39498816129033,54.96125890322581,2835.982422,2697.740008,3078.498985,33.45836138390573,1,0.06685561766151167,1.0855141277035745,0
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,10,398.740234375,795.967963,755.379549,1048.532663,789.821304,753.253283,1097.954665,33.98840488709678,32.62996616129032,38.89730790322581,1831.99841,1808.33538,2268.251225,50.15634847971263,1,0.061704394710691945,1.2381294725031995,0
B3_S256_N32_G9,B3_S256_N32,primary,3,256,32,9,prefix,10,505.85400390625,420.1037655,394.611031,639.860225,426.00043900000003,391.939064,573.793279,22.20120008064516,20.854902580645163,26.841432741935485,1129.3500020000001,1038.441044,1369.4036,81.37791397102953,1,0.1807901305073005,1.2125590805108086,0
B3_S256_N32_G12,B3_S256_N32,primary,3,256,32,12,prefix,10,620.18505859375,44.402604499999995,43.12924,50.125366,78.31788900000001,70.243402,85.702139,9.126148080645159,8.612997870967742,9.628552451612904,358.3504645,351.984271,382.094421,265.9862757681488,1,0.013122116380010986,1.0662590364801943,0
B1_S128_N32_G0,B1_S128_N32,historical_control,1,128,32,0,prefix,10,0.0,308.484998,277.869046,386.548877,280.07904699999995,265.74242,367.879922,50.81309425806451,50.30823703225806,57.471104064516126,1876.9861265,1834.701624,2149.484148,16.62078114377864,1,0.06770145738208257,1.1451784952764275,0
B1_S128_N32_G6,B1_S128_N32,historical_control,1,128,32,6,prefix,10,342.6103515625,143.6577555,134.639777,188.327509,145.38420100000002,138.729156,190.835044,22.859515951612906,22.421166870967745,28.839306483870963,853.53042,836.760629,1084.853545,35.580096690046865,1,0.08980922554582177,1.2710191922626495,0
B1_S128_N32_G12,B1_S128_N32,historical_control,1,128,32,12,prefix,10,519.88916015625,9.4777055,8.758985,12.117951,8.970389,8.713513,11.666972,8.109089612903226,7.81847664516129,8.79654935483871,261.3524855,251.352453,282.436252,122.0963712518917,1,0.023401482057074038,1.0806717657942457,0
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,10,0.0,425.963442,395.512269,1545.682051,436.834917,415.266405,887.411413,56.11069967741936,51.86480467741936,117.13859929032256,2197.718882,2044.338107,4061.483457,37.29387678525487,2,0.2153956442642058,1.8480450299011444,2
B3_S64_N32_G3,B3_S64_N32,primary,3,64,32,3,prefix,10,258.93408203125,309.557611,282.910835,336.221124,299.16863,277.292915,328.621,35.02693990322581,33.60186277419355,37.90895622580645,1389.5825785000002,1319.866144,1479.075011,68.8727346590411,2,0.046310983057564266,1.0644023852088038,0
B3_S64_N32_G6,B3_S64_N32,primary,3,64,32,6,prefix,10,350.07763671875,200.747843,193.715731,230.134358,199.3520135,194.864371,317.132017,27.281247661290323,25.36374312903226,83.70294970967743,1043.1335170000002,995.801814,2911.923458,68.63027090584755,2,0.08217306399713727,2.7915155735524118,2
B3_S64_N32_G9,B3_S64_N32,primary,3,64,32,9,prefix,10,444.15869140625,115.031624,105.903162,183.133843,113.1825575,105.152392,433.791746,18.363177854838707,17.174809,60.44588983870969,680.3247114999999,645.483486,2307.614331,113.96007016990183,2,0.03214310002320118,3.39193078245255,1
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,10,538.23974609375,11.317016500000001,11.238681,15.567047,11.545897499999999,11.160749,15.276661,8.717824806451613,8.58627870967742,10.21535193548387,281.998764,280.010494,327.979178,333.230086503521,2,0.012053856909812524,1.1630518281278708,0
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,10,0.0,1743.1182975,1533.294233,2078.155597,1687.824219,1535.503401,2675.577958,82.83174148387096,65.01116861290322,125.4907887096774,4322.452784499999,3554.026863,5690.984436,20.994859437665838,2,0.41721508704891686,1.3166099711736483,0
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,10,301.1259765625,1201.45432,1163.151247,1304.176129,1242.4034235,1159.146169,2353.175833,45.5274795,44.08682451612904,69.1099897419355,2631.403082,2549.770083,4339.862384,29.415966107932327,2,0.6386150486579082,1.649257923913916,4
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,10,398.740234375,824.299329,721.040126,1035.709421,818.7155395,727.054994,1813.453687,33.29720938709677,32.364941290322584,89.94711770967741,1902.6470519999998,1740.363177,3552.545922,41.01228556588663,2,0.6964571607524822,1.8671597121839707,3
B3_S256_N32_G9,B3_S256_N32,primary,3,256,32,9,prefix,10,505.81884765625,432.361874,388.462356,786.570768,433.89214200000004,382.441257,836.912411,21.864428725806448,19.67369035483871,39.47493261290323,1114.286924,1032.347288,2060.635322,79.11360855199834,2,0.041863396666763655,1.8492861018263194,1
