case_id,workload_id_step4,kind_step4,batch_size_step4,sequence_length_step4,new_tokens_step4,gpu_layers_step4,layout_step4,trials_step4,gpu_peak_mib_step4,prefill_ms_median_step4,prefill_ms_min_step4,prefill_ms_max_step4,ttft_ms_median_step4,ttft_ms_min_step4,ttft_ms_max_step4,decode_tpot_ms_median_step4,decode_tpot_ms_min_step4,decode_tpot_ms_max_step4,generation_ms_median_step4,generation_ms_min_step4,generation_ms_max_step4,pooled_generation_tokens_s_step4,cpu_threads,generation_iqr_over_median,generation_max_over_median,slow_trials_over_1_5x_median,workload_id_step3,kind_step3,batch_size_step3,sequence_length_step3,new_tokens_step3,gpu_layers_step3,layout_step3,trials_step3,gpu_peak_mib_step3,prefill_ms_median_step3,prefill_ms_min_step3,prefill_ms_max_step3,ttft_ms_median_step3,ttft_ms_min_step3,ttft_ms_max_step3,decode_tpot_ms_median_step3,decode_tpot_ms_min_step3,decode_tpot_ms_max_step3,generation_ms_median_step3,generation_ms_min_step3,generation_ms_max_step3,pooled_generation_tokens_s_step3,generation_ratio_step4_vs_step3
B3_S64_N32_G0,B3_S64_N32,primary,3,64,32,0,prefix,10,0.0,425.963442,395.512269,1545.682051,436.834917,415.266405,887.411413,56.11069967741936,51.86480467741936,117.13859929032256,2197.718882,2044.338107,4061.483457,37.29387678525487,2,0.2153956442642058,1.8480450299011444,2,B3_S64_N32,primary,3,64,32,0,prefix,10,0.0,407.5658245,375.500593,926.718917,380.8694855,374.150019,1194.064946,51.90723333870968,50.34998206451613,108.17771893548388,1997.1184575,1951.586373,3732.513754,41.86785372994391,1.1004449304179544
B3_S64_N32_G3,B3_S64_N32,primary,3,64,32,3,prefix,10,258.93408203125,309.557611,282.910835,336.221124,299.16863,277.292915,328.621,35.02693990322581,33.60186277419355,37.90895622580645,1389.5825785000002,1319.866144,1479.075011,68.8727346590411,2,0.046310983057564266,1.0644023852088038,0,B3_S64_N32,primary,3,64,32,3,prefix,10,258.93408203125,273.657043,265.51584,686.630682,273.695248,260.34437,1033.973931,33.277078,32.59901835483871,86.22218567741936,1314.0105825,1270.913939,3120.953626,59.1907791851476,1.0575124713655037
B3_S64_N32_G6,B3_S64_N32,primary,3,64,32,6,prefix,10,350.07763671875,200.747843,193.715731,230.134358,199.3520135,194.864371,317.132017,27.281247661290323,25.36374312903226,83.70294970967743,1043.1335170000002,995.801814,2911.923458,68.63027090584755,2,0.08217306399713727,2.7915155735524118,2,B3_S64_N32,primary,3,64,32,6,prefix,10,350.07763671875,191.7161785,184.199404,229.12122,191.361206,181.946269,215.330202,25.23754919354839,24.416971,26.058191419354834,971.9132885,953.742379,1001.839359,98.73857020979013,1.0732783771378593
B3_S64_N32_G9,B3_S64_N32,primary,3,64,32,9,prefix,10,444.15869140625,115.031624,105.903162,183.133843,113.1825575,105.152392,433.791746,18.363177854838707,17.174809,60.44588983870969,680.3247114999999,645.483486,2307.614331,113.96007016990183,2,0.03214310002320118,3.39193078245255,1,B3_S64_N32,primary,3,64,32,9,prefix,10,444.15869140625,105.606244,101.787461,175.714151,108.0932585,100.503439,366.980998,17.6683855,16.91107041935484,54.21595574193548,659.0200555,626.240077,1782.912004,118.46370081572998,1.0323277809562805
B3_S64_N32_G12,B3_S64_N32,primary,3,64,32,12,prefix,10,538.23974609375,11.317016500000001,11.238681,15.567047,11.545897499999999,11.160749,15.276661,8.717824806451613,8.58627870967742,10.21535193548387,281.998764,280.010494,327.979178,333.230086503521,2,0.012053856909812524,1.1630518281278708,0,B3_S64_N32,primary,3,64,32,12,prefix,10,538.23974609375,11.22003,11.096246,14.931247,11.2965925,11.149111,16.479381,8.520537516129032,8.387680193548388,11.983704612903226,275.761094,271.307584,387.974224,332.4471503198378,1.0226198333837477
B3_S256_N32_G0,B3_S256_N32,primary,3,256,32,0,prefix,10,0.0,1743.1182975,1533.294233,2078.155597,1687.824219,1535.503401,2675.577958,82.83174148387096,65.01116861290322,125.4907887096774,4322.452784499999,3554.026863,5690.984436,20.994859437665838,2,0.41721508704891686,1.3166099711736483,0,B3_S256_N32,primary,3,256,32,0,prefix,10,0.0,1625.011589,1550.143495,1694.448284,1609.85837,1586.65741,1720.921284,65.93662075806452,65.06090729032258,122.09425322580648,3712.043812,3613.298784,5401.699002,22.070595848310305,1.1644401314787067
B3_S256_N32_G3,B3_S256_N32,primary,3,256,32,3,prefix,10,301.1259765625,1201.45432,1163.151247,1304.176129,1242.4034235,1159.146169,2353.175833,45.5274795,44.08682451612904,69.1099897419355,2631.403082,2549.770083,4339.862384,29.415966107932327,2,0.6386150486579082,1.649257923913916,4,B3_S256_N32,primary,3,256,32,3,prefix,10,301.1259765625,1181.9478475,1117.792393,1381.121711,1257.384244,1116.24413,2538.658779,44.22632335483871,42.20806596774193,93.66643067741936,2601.478692,2427.143405,4351.810536,30.26427568477006,1.0115028387862728
B3_S256_N32_G6,B3_S256_N32,primary,3,256,32,6,prefix,10,398.740234375,824.299329,721.040126,1035.709421,818.7155395,727.054994,1813.453687,33.29720938709677,32.364941290322584,89.94711770967741,1902.6470519999998,1740.363177,3552.545922,41.01228556588663,2,0.6964571607524822,1.8671597121839707,3,B3_S256_N32,primary,3,256,32,6,prefix,10,398.740234375,813.5613515,683.10282,1232.796239,784.5990915,672.868291,1147.151315,32.159394887096774,30.93344422580645,78.53544209677419,1845.3444425,1640.92034,3581.75002,46.79856405842414,1.0310525277451013
B3_S256_N32_G9,B3_S256_N32,primary,3,256,32,9,prefix,10,505.81884765625,432.361874,388.462356,786.570768,433.89214200000004,382.441257,836.912411,21.864428725806448,19.67369035483871,39.47493261290323,1114.286924,1032.347288,2060.635322,79.11360855199834,2,0.041863396666763655,1.8492861018263194,1,B3_S256_N32,primary,3,256,32,9,prefix,10,505.81884765625,464.3540225,375.385267,661.550825,456.013277,379.90963,779.566098,20.457150370967742,19.65284251612903,61.63272203225806,1091.084104,1007.549244,2690.180481,70.52470251432338,1.0212658400163073
B3_S256_N32_G12,B3_S256_N32,primary,3,256,32,12,prefix,10,619.23974609375,43.5767075,42.352211,47.426872,64.126638,49.619261,80.333448,8.831887919354838,8.595043935483872,9.426560161290322,340.701586,331.26164,362.420932,279.88817070471896,2,0.034949442530625444,1.0637488843389182,0,B3_S256_N32,primary,3,256,32,12,prefix,10,619.23974609375,42.05679,40.755024,42.584169,58.0338575,54.475714,60.416298,8.466370983870968,8.338637870967741,8.83356035483871,321.334485,315.313407,332.527599,298.23698992825854,1.06027084519111
B1_S128_N32_G0,B1_S128_N32,historical_control,1,128,32,0,prefix,10,0.0,270.9461495,258.651437,476.517059,269.16047549999996,261.767456,311.868553,50.709262354838714,48.96060041935484,110.26123119354835,1857.3056495,1785.333233,3685.833339,15.665031723917103,2,0.039243521802467804,1.9845055335896127,1,B1_S128_N32,historical_control,1,128,32,0,prefix,10,0.0,281.309273,254.040546,314.134662,265.993622,256.581777,285.96072,47.46414656451613,46.82591780645161,105.32201551612904,1741.653953,1709.420255,3550.943201,15.274628797762146,1.066403372668141
B1_S128_N32_G6,B1_S128_N32,historical_control,1,128,32,6,prefix,10,342.1103515625,161.5262435,136.098538,256.444388,140.4494175,134.0852,427.997474,23.661967322580644,22.600258000000004,62.01032103225807,870.781704,841.97828,2062.647339,30.672550324345963,2,0.051477239696345316,2.368730681323548,2,B1_S128_N32,historical_control,1,128,32,6,prefix,10,342.1103515625,135.030839,129.929954,606.604992,132.749067,127.610933,645.109113,21.90410072580645,21.180170032258065,41.07595916129032,813.460285,787.387547,1918.463847,34.725701190370835,1.0704661555788184
B1_S128_N32_G12,B1_S128_N32,historical_control,1,128,32,12,prefix,10,519.88916015625,10.3987485,8.715332,16.218481,9.953648000000001,8.614238,13.044611,8.466123612903226,7.884738709677419,12.79351412903226,271.6793315,253.442421,408.77307,107.80914831359716,2,0.13543974176040696,1.5046160035181035,1,B1_S128_N32,historical_control,1,128,32,12,prefix,10,519.88916015625,10.2979345,8.549415,14.882219,9.7074995,8.317522,13.560124,8.93448614516129,7.654608290322581,11.469252903225808,286.6283575,245.610379,368.167769,109.25842495231564,0.9478452651008196
